Function,Blocks,Edges,CyclomaticComplexity
_init,3,4,3
_start,1,1,2
_dl_relocate_static_pie,1,0,1
bme280_init,12,24,14
bme280_read_temperature,18,31,15
i2c_set_slave,1,1,2
i2c_read_u8,6,9,5
i2c_write_u8,6,9,5
i2c_read_buf,6,9,5
_fini,1,0,1
