Function,Blocks,Edges,CyclomaticComplexity
Bme280::new,48,93,47
read_temperature,37,71,36
i2c_set_slave,1,1,2
i2c_read_u8,4,6,4
i2c_write_u8,4,6,4
i2c_read_buf,N/A,N/A,6
flock_lock,5,7,4
flock_unlock,5,7,4
compensate_temperature,1,1,1
