Function,Blocks,Edges,CyclomaticComplexity
is_zero_slow_path,1,0,1
increase,5,5,2
default_hook,12,26,16
{closure#0},4,6,4
{closure#0},8,12,6
payload_as_str,6,7,3
panic_with_hook,18,35,19
fmt<()>,1,2,3
fmt<i32>,5,10,7
fmt<str>,1,2,3
fmt<core::panic::location::Location>,1,1,2
write_char<std::io::default_write_fmt::Adapter<std::sys::stdio::unix::Stderr>>,23,37,16
write_char<std::io::default_write_fmt::Adapter<std::io::cursor::Cursor<&mut_[u8]>>>,12,18,8
write_char<std::io::default_write_fmt::Adapter<std::io::stdio::StderrLock>>,12,18,8
write_char<std::io::default_write_fmt::Adapter<alloc::vec::Vec<u8,_alloc::alloc::Global>>>,10,15,7
write_char<std::io::default_write_fmt::Adapter<std::io::stdio::StdoutLock>>,12,18,8
write_fmt<std::io::default_write_fmt::Adapter<std::io::stdio::StderrLock>>,1,2,3
write_fmt<std::io::default_write_fmt::Adapter<std::sys::stdio::unix::Stderr>>,1,2,3
write_fmt<alloc::string::String>,1,2,3
write_fmt<std::io::default_write_fmt::Adapter<std::io::cursor::Cursor<&mut_[u8]>>>,1,2,3
write_fmt<std::io::default_write_fmt::Adapter<std::io::stdio::StdoutLock>>,1,2,3
write_fmt<std::io::default_write_fmt::Adapter<alloc::vec::Vec<u8,_alloc::alloc::Global>>>,1,2,3
from_ascii_radix,18,25,9
from_ascii_radix,34,50,18
call<fn(&core::ffi::c_str::CStr)_->_core::result::Result<std::path::PathBuf,_std::io::error::Error>,_(&core::ffi::c_str::CStr)>,1,1,2
call<fn(&core::ffi::c_str::CStr)_->_core::result::Result<std::sys::fs::unix::FileAttr,_std::io::error::Error>,_(&core::ffi::c_str::CStr)>,6,12,8
call_once<std::sync::once::{impl#2}::call_once_force::{closure_env#0}<std::sync::once_lock::{impl#0}::initialize::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::stdout::{closure_env#0}>,_!>>,_(&std::sync::once::OnceState)>,5,9,6
call_once<std::sys::personality::gcc::find_eh_action::{closure_env#0},_()>,1,2,3
call_once<std::sys::personality::gcc::find_eh_action::{closure_env#1},_()>,1,2,3
call_once<std::sys::backtrace::_print_fmt::{closure_env#1},_(&std::backtrace_rs::backtrace::Frame)>,1,1,2
call_once<std::sync::once::{impl#2}::call_once::{closure_env#0}<std::rt::cleanup::{closure_env#0}>,_(&std::sync::once::OnceState)>,1,1,2
call_once<std::sync::once::{impl#2}::call_once_force::{closure_env#0}<std::sync::once_lock::{impl#0}::initialize::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::cleanup::{closure_env#0}>,_!>>,_(&std::sync::once::OnceState)>,3,3,2
call_once<std::sys::backtrace::_print_fmt::{closure#1}::{closure_env#0},_(&std::backtrace_rs::symbolize::Symbol)>,1,1,2
call_once<std::sys::backtrace::_print_fmt::{closure_env#0},_(&mut_core::fmt::Formatter,_std::backtrace_rs::types::BytesOrWideString)>,5,7,4
drop_in_place<alloc::sync::Arc<std::sync::poison::mutex::Mutex<alloc::vec::Vec<u8,_alloc::alloc::Global>>,_alloc::alloc::Global>>,3,4,3
drop_in_place<std::io::default_write_fmt::Adapter<std::io::cursor::Cursor<&mut_[u8]>>>,3,3,2
drop_in_place<alloc::boxed::Box<(dyn_core::ops::function::FnOnce<(),_Output=()>_+_core::marker::Send),_alloc::alloc::Global>>,5,7,4
drop_in_place<std::sync::reentrant_lock::ReentrantLockGuard<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>>,4,6,4
drop_in_place<core::result::Result<std::sync::poison::mutex::MutexGuard<()>,_std::sync::poison::PoisonError<std::sync::poison::mutex::MutexGuard<()>>>>,7,12,7
drop_in_place<alloc::boxed::convert::{impl#17}::from::StringError>,3,4,3
drop_in_place<alloc::string::String>,3,4,3
drop_in_place<std::io::error::Error>,7,11,6
drop_in_place<alloc::vec::Vec<u8,_alloc::alloc::Global>>,3,4,3
drop_in_place<std::io::stdio::StdinLock>,7,12,7
drop_in_place<std::ffi::os_str::OsString>,3,4,3
drop_in_place<alloc::vec::Vec<alloc::string::String,_alloc::alloc::Global>>,8,13,7
drop_in_place<std::backtrace_rs::backtrace::libunwind::Bomb>,3,3,2
drop_in_place<alloc::vec::Vec<std::ffi::os_str::OsString,_alloc::alloc::Global>>,8,13,7
drop_in_place<std::panicking::panic_handler::FormatStringPayload>,3,4,3
drop_in_place<alloc::boxed::Box<[alloc::string::String],_alloc::alloc::Global>>,7,11,6
drop_in_place<core::result::Result<(),_std::io::error::Error>>,2,2,2
drop_in_place<std::io::buffered::bufwriter::{impl#1}::flush_buf::BufGuard>,6,10,6
drop_in_place<std::sync::nonpoison::rwlock::RwLockReadGuard<std::panicking::Hook>>,3,4,3
drop_in_place<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>,10,19,11
next_code_point<core::slice::iter::Iter<u8>>,9,8,1
split_once<char>,4,5,3
trim_start_matches<fn(char)_->_bool>,30,44,16
{closure#2},21,33,14
description<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
cause<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
provide<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
type_id<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
as_str<std::panicking::begin_panic::Payload<&str>>,1,0,1
assert_failed<i32,_i32>,1,2,3
fmt<core::ffi::c_void>,1,2,3
read_to_string,9,14,7
fmt<dyn_core::panic::PanicPayload>,1,0,1
is_contained_in,112,191,81
fmt,1,1,2
write_char,13,20,9
write_str,3,5,4
bulk_steal_left<usize,_std::sys::pal::unix::stack_overflow::thread_info::ThreadInfo>,18,36,20
bulk_steal_right<usize,_std::sys::pal::unix::stack_overflow::thread_info::ThreadInfo>,21,41,22
merge_tracking_child_edge<usize,_std::sys::pal::unix::stack_overflow::thread_info::ThreadInfo,_alloc::alloc::Global>,25,47,24
remove_leaf_kv<usize,_std::sys::pal::unix::stack_overflow::thread_info::ThreadInfo,_alloc::collections::btree::map::entry::{impl#9}::remove_kv::{closure_env#0}<usize,_std::sys::pal::unix::stack_overflow::thread_info::ThreadInfo,_alloc::alloc::Global>,_alloc::alloc::Global>,57,100,45
drop_slow<std::sync::poison::mutex::Mutex<alloc::vec::Vec<u8,_alloc::alloc::Global>>,_alloc::alloc::Global>,6,10,6
drop_slow<std::thread::thread::Inner,_std::alloc::System>,7,12,7
exchange_malloc,5,7,4
grow_one<(*mut_u8,_unsafe_extern_"C"_fn(*mut_u8)),_std::alloc::System>,3,4,3
grow_one<alloc::boxed::Box<(dyn_core::ops::function::FnMut<(),_Output=core::result::Result<(),_std::io::error::Error>>_+_core::marker::Send_+_core::marker::Sync),_alloc::alloc::Global>,_alloc::alloc::Global>,3,4,3
grow_one<std::backtrace::BacktraceSymbol,_alloc::alloc::Global>,3,4,3
grow_one<std::backtrace::BacktraceFrame,_alloc::alloc::Global>,3,4,3
grow_one<alloc::vec::Vec<u8,_alloc::alloc::Global>,_alloc::alloc::Global>,3,4,3
grow_one<*const_i8,_alloc::alloc::Global>,3,4,3
finish_grow<std::alloc::System>,11,17,8
finish_grow<alloc::alloc::Global>,11,18,9
grow_amortized<std::alloc::System>,4,5,3
do_reserve_and_handle<alloc::alloc::Global>,5,8,5
fmt,1,2,3
fmt,15,29,16
write_fmt,30,50,22
write_fmt,30,50,22
write_all,18,28,12
write_all,42,72,32
eq,10,14,6
fmt,1,1,2
eq,18,34,18
fmt,11,22,13
fmt,1,1,2
write_vectored,3,5,4
is_write_vectored,1,0,1
flush,1,0,1
write,3,5,4
next,9,12,5
fmt,15,26,13
next,71,114,45
next_match,37,58,23
write_str<std::io::stdio::StderrLock>,5,8,5
write_str<std::io::stdio::StdoutLock>,5,8,5
